id,topic,question,ground_truth,expected_sources,expected_pages,expected_chunk_ids,expected_slide,review_needed,notes
11,unsupervised_learning,What is dimensionality reduction?,"Dimensionality reduction transforms feature vectors into lower-dimensional representations while preserving information.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,16,"7c98104707daaf9e85e844b051183a974abdab60",no,"Definition is contained in this chunk on page 16."
12,unsupervised_learning,What is outlier detection?,"Outlier detection identifies observations that differ from typical examples in the dataset.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,16,"7c98104707daaf9e85e844b051183a974abdab60;e9681b165d668ead817163980f2ba68776400ac8",no,"Definition spans two chunks on page 16."
13,semi_supervised_learning,What is semi-supervised learning?,"Semi-supervised learning combines a small amount of labeled data with a much larger amount of unlabeled data.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,16,"e9681b165d668ead817163980f2ba68776400ac8;1d792ae96609610b0312b6c136ad007cdcbc3bb7",no,"Definition spans two chunks on page 16."
14,reinforcement_learning,What is reinforcement learning?,"Reinforcement learning trains an agent to maximize long-term reward while interacting with an environment.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,16,"1d792ae96609610b0312b6c136ad007cdcbc3bb7;f0a4d512c148595ba25f9ca2e8fa9edc801ef9ce",no,"Definition spans two chunks on page 16."
15,evaluation,"Why is a dataset split into training, validation, and test sets?","The training set is used to train the model, the validation set is used to estimate and compare model performance during development, and the test set is used at the end to evaluate and report the performance of the best-performing model.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,145,"4f5c977c199e8a27b51fd567383b2bacd589fe5c;29e6b890d2639c1ab9713daf455d76cb3834d962",no,"The roles of the training, validation, and test sets are described across two chunks on page 145."
16,evaluation,What is the purpose of the validation set?,"The validation set is used to estimate and compare the performance of different machine learning algorithms or models with different hyperparameter configurations.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,145,"4f5c977c199e8a27b51fd567383b2bacd589fe5c",no,"The validation set's purpose is described in the holdout-set discussion."
17,evaluation,What is the purpose of the test set?,"The test set is used at the end of the project to evaluate and report the performance of the model that performed best on the validation data.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,145,"4f5c977c199e8a27b51fd567383b2bacd589fe5c",no,"The test set's purpose is described in the holdout-set discussion."
18,model_evaluation,What is a baseline in machine learning?,"A baseline is a simple reference model used for comparison.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,20,828ded88e0090a5972adcafa6aa2293f8132ce02,"",yes,"Definition is provided in Section 1.3.4 on page 20."
19,pipeline,What is a machine learning pipeline?,"A machine learning pipeline is a sequence of operations on the dataset that goes from its initial state to the model.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,20,828ded88e0090a5972adcafa6aa2293f8132ce02,"",yes,"Definition is provided in Section 1.3.5 on page 20."
20,model_training,What is the difference between parameters and hyperparameters?,"Parameters are learned from data, while hyperparameters are configured before training and control the learning process.",Machine Learning Engineering (Andriy Burkov) (Z-Library).pdf,12,,"",no,"Definition is on page 12."
